Designator,Mid X,Mid Y,Layer,Rotation
C1,115.85,-77.15,top,180
C2,112.55,-85.5,top,-90
C3,81.55,-117.1,top,180
C4,77.75,-111.65,top,-90
C5,88.95,-118.3,top,-90
C6,80.7,-127.7,top,-90
C8,82.9,-91.55,top,0
C9,87.05,-94.5,top,90
J1,72.4,-106.75,top,0
J2,115.58,-106.75,top,0
J3,72.4,-98.21,top,90
J4,103.84,-122.2,top,-90
J5,113.2,-70.15,top,-90
J9,117.625,-73.55,top,90
SW1,77.8,-138.45,top,0
SW2,84,-108.88,top,0
SW3,106.4,-108.95,top,0
SW4,95.26,-108.88,top,0
SW5,118.9,-66.35,top,-90
